name,code1,code2,code3,code4,code5,code6,code7,code8,code9,code10,code11,code12,code13,code14,code15,code16,code17,code18,code19,code20,code21
"Amaranth leaves, green (Common)", C002,,,,,,,,,,,,,,,,,,,,
"Amaranth leaves, red (Common)", C003,,,,,,,,,,,,,,,,,,,,
"Amaranth leaves, red and green(Common)", C004,,,,,,,,,,,,,,,,,,,,
"Amaranthus cruentus (Sci.)", A001, A002,,,,,,,,,,,,,,,,,,,
"Amaranthus gangeticus (Sci.)", C002, C003, C004,,,,,,,,,,,,,,,,,,
"Amba (Mar.)", D057,,,,,,,,,,,,,,,,,,,,
"Amba/pachila (O.)",E036,E037,E038,E039,E040,E041,E042,,,,,,,,,,,,,,
"Amba/piklela (Mar.)",E036,E037,E038,E039,E040,E041,E042,,,,,,,,,,,,,,
"Ambada/sorrel (G.)", C032,,,,,,,,,,,,,,,,,,,,
"Ambada ki bhaji (U.)", C022, C023,,,,,,,,,,,,,,,,,,,
"Ambadi (G.)", C022, C023,,,,,,,,,,,,,,,,,,,
"Ambadi (Mar.)", C022, C023,,,,,,,,,,,,,,,,,,,
"AmbaHaldi (Mar.)", G015,,,,,,,,,,,,,,,,,,,,
"AmbaHardar (G.)", G015,,,,,,,,,,,,,,,,,,,,
"Ambo (G.)", D057,,,,,,,,,,,,,,,,,,,,
"Ambu/kacha (O.)", D057,,,,,,,,,,,,,,,,,,,,
"Amita (A.)", E049,,,,,,,,,,,,,,,,,,,,
"Amla (G., H.)", E021,,,,,,,,,,,,,,,,,,,,
"Amla (Mar.)", E021,,,,,,,,,,,,,,,,,,,,
"Amlakhi (A.)", E021,,,,,,,,,,,,,,,,,,,,
"Amlavetasa (Mar., S.)", C032,,,,,,,,,,,,,,,,,,,,
"Amli (G.)", E064,,,,,,,,,,,,,,,,,,,,
"Amli na pan (G.)", C034,,,,,,,,,,,,,,,,,,,,
"Amorphophallus paeoniifolius (Sci.)", F017,,,,,,,,,,,,,,,,,,,,
"Ampa (N.)", E036,E037,E038,E039,E040,E041,E042,,,,,,,,,,,,,,
"Amrakh (G.)", E062,,,,,,,,,,,,,,,,,,,,
"Amrodh (Kash.)", E028, E029,,,,,,,,,,,,,,,,,,,
"Amrood (U.)", E028,,,,,,,,,,,,,,,,,,,,
"Amrud (H., P.)", E028, E029,,,,,,,,,,,,,,,,,,,
"Amrutabhanda (O.)", D059,,,,,,,,,,,,,,,,,,,,
"Amrutbhanda/Pachila (O.)", E049,,,,,,,,,,,,,,,,,,,,
"Anaar (U.)", E055,,,,,,,,,,,,,,,,,,,,
"Anacardium occidentale (Sci.)", H005,,,,,,,,,,,,,,,,,,,,
"Ananas (H., Kan., P., U.)", E053,,,,,,,,,,,,,,,,,,,,
"Ananas comosus (Sci.)", E053,,,,,,,,,,,,,,,,,,,,
"Anar (H.)", E055,,,,,,,,,,,,,,,,,,,,
"Anar (P.)", E055,,,,,,,,,,,,,,,,,,,,
"Anarasa (B.)", E053,,,,,,,,,,,,,,,,,,,,
"Anas (Kon.)", E053,,,,,,,,,,,,,,,,,,,,
"Anasa pandu (Tel.)", E053,,,,,,,,,,,,,,,,,,,,
"Anashina (Kan.)", G033,,,,,,,,,,,,,,,,,,,,
"Anchoa hepsetus (Sci.)", P027,,,,,,,,,,,,,,,,,,,,
"Anchovy (Common)", P003,,,,,,,,,,,,,,,,,,,,
"Anenas (G.)", E053,,,,,,,,,,,,,,,,,,,,
"Angoor (A., B., H., M., N., O., P.)", E022,E023,E024,E025,E026,E027,,,,,,,,,,,,,,,
"Anguilla anguilla (Sci.)", S003,,,,,,,,,,,,,,,,,,,,
"Anjeer (H., Kash., P., U.)", E020,,,,,,,,,,,,,,,,,,,,
"Anjiira (S.)", E020,,,,,,,,,,,,,,,,,,,,
"Anjir (G., Mar., N.)", E020,,,,,,,,,,,,,,,,,,,,
"Anjurada Haṇṇugaḷu (Kan.)", E020,,,,,,,,,,,,,,,,,,,,
"Annasi pazham (Tam.)", E053,,,,,,,,,,,,,,,,,,,,
"Annona muricata (Sci.)", E061,,,,,,,,,,,,,,,,,,,,
"Annona squamosa (Sci.)", E016,,,,,,,,,,,,,,,,,,,,
"Apel (A.)", E001,E002,E003,E004,,,,,,,,,,,,,,,,,
"Aphina (G.)", G032,,,,,,,,,,,,,,,,,,,,
